,Unnamed: 0,id,app,reviewText,date,ratingStars
133073,153161,7c5921ab-afc9-11e6-8082-c4b301cdf627,at.tomtasche.reader,Great We use it for as a reader for our mobile units both IPhone and Android.,November 16 2016,4
133074,153162,7c59222e-afc9-11e6-9de9-c4b301cdf627,at.tomtasche.reader,Does not work Just doesn't work  waste of time,November 16 2016,1
133075,153163,7c5922b0-afc9-11e6-9166-c4b301cdf627,at.tomtasche.reader,Great appreciation,November 13 2016,4
133076,153164,7c592326-afc9-11e6-b2a4-c4b301cdf627,at.tomtasche.reader,Was Great. Helped me to read a chapter of a book a friend of mine sent me. So I thank the people who developed it :),November 12 2016,5
133077,153166,7c592421-afc9-11e6-a579-c4b301cdf627,at.tomtasche.reader,Doesn't crash Reads docs well,November 07 2016,5
133078,153168,7c592575-afc9-11e6-9291-c4b301cdf627,at.tomtasche.reader,Good Works fine 👍,November 05 2016,5
133079,153169,7c5925ee-afc9-11e6-b38d-c4b301cdf627,at.tomtasche.reader,Awesome app for the super busy Great app for reviewing and light editing  I'm a linux using student juggling two jobs and classes this has been a life saver. I recommend this for anyone on the go who has a full schedule and deadlines to meet,November 04 2016,5
133080,153170,7c592670-afc9-11e6-b9ac-c4b301cdf627,at.tomtasche.reader,Gotta see,October 30 2016,4
133081,153171,7c5926f0-afc9-11e6-be6a-c4b301cdf627,at.tomtasche.reader,Good reader. Experimental editor useless As a reader  it does what I want. As an editor  I loose pretty much everything I write. For instance  trying to paste something seems to exit edit mode. Hitting save also exits edit mode and only sometimes saves something. Edit: couldn't open a simple .ods.,October 29 2016,2
133082,153172,7c592775-afc9-11e6-85fe-c4b301cdf627,at.tomtasche.reader,Great app Opens and let's me edit  since I'm an open office user. If you have formatting though  like columns  it may not allow you to put your text in the location you would like,October 29 2016,4
133083,153173,7c5927eb-afc9-11e6-b483-c4b301cdf627,at.tomtasche.reader,Opens odt  as needed Yes  it has adds  kids  but it's free. And no adds when reading document  which is really good!,October 29 2016,4
133084,153174,7c59286e-afc9-11e6-ab9f-c4b301cdf627,at.tomtasche.reader,When images are displayed the alternative text is also added under. Could you please fix this problem ?,October 28 2016,4
133085,153175,7c5928e6-afc9-11e6-a582-c4b301cdf627,at.tomtasche.reader,Unable to open LibreOffice Draw (.odg) files,October 28 2016,1
133086,153177,7c5929e1-afc9-11e6-a70e-c4b301cdf627,at.tomtasche.reader,Great help with Libretto docs All seems fixed  works very well again. Thank you.,October 21 2016,4
133087,153178,7c592a61-afc9-11e6-b32e-c4b301cdf627,at.tomtasche.reader,Unpolished  imprecise Firstly  it loads each of my sheets with formatting errors - background colors from a group of cells are continued for two additional cells within the same column  or a random section is transposed to another part of the sheet. Secondly  each time I attempt to open a document it displays an advertisement which  when dismissed  does not then proceed to my document but returns me to the main menu from which I have to dig through my files a second time to open the file. The second time  the file loads.,October 19 2016,1
133088,153179,7c592ae3-afc9-11e6-b952-c4b301cdf627,at.tomtasche.reader,Great app Love this! Very easy to use!!,October 19 2016,5
133089,153180,7c592b66-afc9-11e6-b5ca-c4b301cdf627,at.tomtasche.reader,Usefulll,October 18 2016,5
133090,153181,7c592be8-afc9-11e6-a63b-c4b301cdf627,at.tomtasche.reader,Free App opens id's files,October 18 2016,5
133091,153182,7c592c5e-afc9-11e6-88a6-c4b301cdf627,at.tomtasche.reader,Edit doesn't work,October 17 2016,2
133092,153183,7c592ce3-afc9-11e6-a99f-c4b301cdf627,at.tomtasche.reader,Fails at every step - did not have the ability to search phone for documents. - cannot open an empty  file document. - time to remove,October 14 2016,1
133093,153184,7c592d59-afc9-11e6-8d42-c4b301cdf627,at.tomtasche.reader,App Ok.,October 13 2016,5
133094,153185,7c592e02-afc9-11e6-bf79-c4b301cdf627,at.tomtasche.reader,Can't open a basic word docx file,October 13 2016,1
133095,153186,7c592e87-afc9-11e6-a91f-c4b301cdf627,at.tomtasche.reader,Crappy Didn't open file,October 11 2016,1
133096,153187,7c592f07-afc9-11e6-af8d-c4b301cdf627,at.tomtasche.reader,No Editing Editing option works; but as you save it and reopen the file you edited  it shows the original file with no edit history.,October 11 2016,2
133097,153189,7c593097-afc9-11e6-8f0f-c4b301cdf627,at.tomtasche.reader,So smooth My phone is running circles around my boss's laptop right now.,October 10 2016,5
133098,153191,7c5931eb-afc9-11e6-ac5d-c4b301cdf627,at.tomtasche.reader,Very good. .but requires compatibility I like the app. But when a .docx file that is formatted in ms word with tabs  is opened in this app  alignments disappeared  the matter appeared in a mess.,October 07 2016,4
133099,153192,7c59326e-afc9-11e6-9aac-c4b301cdf627,at.tomtasche.reader,Can't edit or can't save as in other format,October 06 2016,2
133100,153193,7c5932f0-afc9-11e6-b011-c4b301cdf627,at.tomtasche.reader,Great app As a long time user of OpenOffice  this is just what I needed to view OO docs.,October 05 2016,5
133101,153194,7c59337a-afc9-11e6-a4b9-c4b301cdf627,at.tomtasche.reader,Good enough... Really good enough as according to the space of this app....,October 04 2016,2
133102,153195,7c5933fd-afc9-11e6-b045-c4b301cdf627,at.tomtasche.reader,Doc Reader Does all its supposed to. No problems.,October 03 2016,5
133103,153196,7c593480-afc9-11e6-85f0-c4b301cdf627,at.tomtasche.reader,Does exactly what I wanted This app should have 5 stars. If it's intention is to cooperate with open or libre office  then mission accomplished!,September 30 2016,5
133104,153197,7c5934f8-afc9-11e6-b867-c4b301cdf627,at.tomtasche.reader,I want it to edit documents and I thought it did. But sadly it doesn't edit. Great app as it open all files easily.,September 27 2016,1
133105,153198,7c593578-afc9-11e6-ab1e-c4b301cdf627,at.tomtasche.reader,Very good This app help me to open odt files. Excelent app. Thank you.,September 27 2016,5
133106,153199,7c5935f3-afc9-11e6-a228-c4b301cdf627,at.tomtasche.reader,Good app. Only issue i have is having to open adocument twice to read it. Otherwise it is a great app.,September 26 2016,4
133107,153200,7c593673-afc9-11e6-999e-c4b301cdf627,at.tomtasche.reader,Works well for school 😊💪👍,September 25 2016,5
133108,153201,7c5936ee-afc9-11e6-9e6a-c4b301cdf627,at.tomtasche.reader,Doesn't work properly Opens file but doesn't read correctly,September 24 2016,1
133109,153202,7c59376e-afc9-11e6-9689-c4b301cdf627,at.tomtasche.reader,Mast ahe app....supportive...,September 24 2016,4
