,Unnamed: 0,id,app,reviewText,date,ratingStars
494645,688646,90510450-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,I had originally used this app on my Nokia Lumia 1020  which was a fine experience. Now that I have switched to an Android phone (LG V20)  I find it less than stellar. Principally  this is due to Adobe forcing me to sign in to an Adobe account in order to utilize certain features. On my Lumia  these same features were an add-on purchase. I don't have an Adobe account  nor will I create one  so I won't be signing in. I would like it if there was a choice: sign in and use premium features for free OR purchase them to use. I would do the latter.,January 21 2017,2
494646,688647,90875691-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,Best of all apps. Worthy,January 21 2017,5
494647,688648,90bee152-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,PicsArt is a Hell-a-lot better...,January 21 2017,1
494648,688649,90fd22d3-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,it's worth,January 21 2017,5
494649,688652,9288a4d6-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,Good One👌,January 21 2017,3
494650,688654,92fdd4d8-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,It's easy and wonderful make all pic's,January 21 2017,5
494651,688655,933fbfd9-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,Yeah its pretty good to edit my pics,January 21 2017,4
494652,688656,94512fda-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,osm app ever,January 21 2017,4
494653,688663,96bfbee1-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,Better than the Best,January 21 2017,5
494654,688665,9731e1a3-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,It is so bad that it would not let you put anything,January 21 2017,1
494655,688667,98c998a6-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,Love it .it got all what a photo app can have,January 21 2017,5
494656,688669,993e2c68-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,Excellent for image editing,January 21 2017,5
494657,688670,997960a9-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,S app,January 21 2017,5
494658,688671,99b187aa-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,Great i like it veryyy much especially its filters and magic brush that edit pic like professional dont waste ur time to download dslr camera download this and start editing pics..😊😃,January 20 2017,5
494659,688676,9bbdd271-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,Pretty much what I was looking for,January 20 2017,5
494660,688677,9bf86a73-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,This is good app easy to use for editing my pictures...cheers,January 20 2017,4
494661,688678,9d0baf37-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,It keeps crashing on me every darn time I start editing.!!,January 20 2017,3
494662,688679,9d4339f8-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,I love adobe products  i have a subscription with them but honestly  this app is the worst creation adobe has every released,January 20 2017,1
494663,688682,9df39e3d-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,Something new,January 20 2017,5
494664,688684,9fc55102-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,Nice features. Nice to use very interesting......ever,January 20 2017,5
494665,688690,a31b32d3-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,I love this app for editing my picture. Love it,January 20 2017,5
494666,688691,a42e7794-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,WORST APP EVER OMG DAFUQ,January 20 2017,1
494667,688692,a46d5556-e021-11e6-8f37-fa163e345ce9,com.adobe.psmobile,Its a best edit app i thinks soo,January 20 2017,5
