,Unnamed: 0,id,app,reviewText,date,ratingStars
84263,94457,7c96cbf5-afc9-11e6-8493-c4b301cdf627,com.amaze.filemanager,Nice  but missing some features A great looking file manager with a lot of useful features. However it cannot currently access network locations  which limits is usage,November 16 2016,3
84264,94458,7c96cc78-afc9-11e6-af7e-c4b301cdf627,com.amaze.filemanager,Very good file manager  supports root access  and looks great!,November 15 2016,5
84265,94459,7c96ccfa-afc9-11e6-afbf-c4b301cdf627,com.amaze.filemanager,FYI-Crashes when I click Movies bookmark On the side menu  I clicked on 'Movies' bookmark. The app crashed all of a sudden. I had no Movies folder that time.,November 12 2016,4
84266,94460,7c96cd7a-afc9-11e6-b50c-c4b301cdf627,com.amaze.filemanager,One of the best file manager,November 11 2016,5
84267,94461,7c96cdfd-afc9-11e6-8927-c4b301cdf627,com.amaze.filemanager,as its name its just amazing.... i loved it... Just amazing.. everything i need just got it,November 11 2016,5
84268,94462,7c96ce80-afc9-11e6-97a5-c4b301cdf627,com.amaze.filemanager,Scroll issue When I try to use the scroll bar (instead of swiping my fingers) the transition is not good  it just flickers...,November 10 2016,5
84269,94463,7c96cf0c-afc9-11e6-93db-c4b301cdf627,com.amaze.filemanager,Really good material design Works well and intuitive. Files don't appear to move when you cut them over tabs - am i doing it wrong?,November 09 2016,4
84270,94464,7c96cf8f-afc9-11e6-b328-c4b301cdf627,com.amaze.filemanager,Free and Open Source Finally... a small  simple  free file manager that has all the functionality you need and also looks nice! Thanks for making this Open Source!,November 09 2016,5
84271,94465,7c96d005-afc9-11e6-b2b0-c4b301cdf627,com.amaze.filemanager,Good This app is good but can't extract zip and rar files stop please fix it.,November 07 2016,3
84272,94466,7c96d08a-afc9-11e6-a251-c4b301cdf627,com.amaze.filemanager,I love this app......Its so easy to hack and get my ex boyfriends mistress information!! they think I'm stupid!!! funny part is my new man is a professional hacker!!! Its so fun to watch them squirm...hi dj.r c.g m r  I got all u bitches,November 06 2016,4
84273,94467,7c96d14f-afc9-11e6-9ae5-c4b301cdf627,com.amaze.filemanager,Clean and responsive Nice set of features and functionality. Simple and fast UI and easy to navigate. Nice!,November 06 2016,5
84274,94468,7c96d1e6-afc9-11e6-8988-c4b301cdf627,com.amaze.filemanager,This app plus ghost commander can beat non-free ones.,November 06 2016,5
84275,94469,7c96d268-afc9-11e6-bbf5-c4b301cdf627,com.amaze.filemanager,Excellent File Manager Its the world best file manager to extract any file .I extract wwe 2k game and I get it for free from Aptoide .,November 06 2016,4
84276,94470,7c96d2e8-afc9-11e6-b286-c4b301cdf627,com.amaze.filemanager,"4 sars because of annoying error Everytime I press the home button or whenever it has to open like a picture in another app it gives me an """"""""""""""""""""""""""""""""Unfortunately Amaze has stopped"""""""""""""""""""""""""""""""" error. Phone: Galaxy J1. Please fix this. This app is sooo amazing! I don't want to give up on it because of this.""""",November 05 2016,4
84277,94471,7c96d36b-afc9-11e6-802a-c4b301cdf627,com.amaze.filemanager,Great !!!!! but crashes Nice job so far But saving the 5th star for when its a little more stable.,November 05 2016,4
84278,94472,7c96d3ee-afc9-11e6-ada1-c4b301cdf627,com.amaze.filemanager,Just crashes Tried to delete file and it crashed. Tried to copy a file and it crashed. Though this would be good replacement for ESFile but it fails miserably.,November 04 2016,1
84279,94473,7c96d470-afc9-11e6-8845-c4b301cdf627,com.amaze.filemanager,Deserves the name This is excellent. Would like to request the developer to include different icon sizes (smaller icons if possible) and grid view for all folders. Good work,November 04 2016,4
84280,94474,7c96d4f0-afc9-11e6-9474-c4b301cdf627,com.amaze.filemanager,Easily one of the best If not THE best file management app out there. Minimalistic features (kinda) but such a good user experience.,November 02 2016,5
84281,94475,7c96d56b-afc9-11e6-b8be-c4b301cdf627,com.amaze.filemanager,useless app obfuscates standard folders. cannot return to search results. only finds sd card. overwrites standard file browser without permission. test example: install then try and set ringtones from phones set of ringtones. how this gets more than 1 star by anyone is a mystery.,November 02 2016,1
84282,94476,7c96d5eb-afc9-11e6-a992-c4b301cdf627,com.amaze.filemanager,No annoying ads in your face! Awesome file manager with no annoying ads!,November 01 2016,5
84283,94477,7c96d66e-afc9-11e6-9844-c4b301cdf627,com.amaze.filemanager,Bugs Nice file manager but has bugs related to move/copy/paste operations(fails everytime ),October 31 2016,2
84284,94478,7c96d6fa-afc9-11e6-ad92-c4b301cdf627,com.amaze.filemanager,Light,October 31 2016,4
84285,94479,7c96d77a-afc9-11e6-b610-c4b301cdf627,com.amaze.filemanager,Superb I will give more than 5 stars ( but unfortunately the maximum is 5). But can you fix the problem with backup location. ?,October 31 2016,5
84286,94480,7c96d800-afc9-11e6-a328-c4b301cdf627,com.amaze.filemanager,Better than rest but bugged. Minor bug  causes duplication of items in the gallery and apks  but deleting one causes deletion of both items. App worth 5 stars if bug is fixed,October 30 2016,3
84287,94481,7c96d88a-afc9-11e6-979c-c4b301cdf627,com.amaze.filemanager,needs some overlay permission and doesn't work even if you try to enable it. refuses to start,October 30 2016,1
84288,94482,7c96d90c-afc9-11e6-ac8e-c4b301cdf627,com.amaze.filemanager,Great file manager. It has all of the features other browsers charge for  great theme customization  and best of all it's free and open source.,October 30 2016,5
84289,94483,7c96d98c-afc9-11e6-80a5-c4b301cdf627,com.amaze.filemanager,Finally Found the File Explorer I've Been Looking For! It's perfect. File storage integration would be nice  but it's a fantastic app.,October 30 2016,5
84290,94484,7c96da0f-afc9-11e6-a6cf-c4b301cdf627,com.amaze.filemanager,Was using it but now just crashes Installed Amaze some months ago but now I can't use it. I go to open it and it always reports 'Amaze has stopped'. Using a Nexus 5,October 27 2016,2
84291,94485,7c96da91-afc9-11e6-a555-c4b301cdf627,com.amaze.filemanager,Appears ok  but by whatever reason corrupts PDF files (20 pages file) when copying from internal storage to microSD card. Looking for alternative.,October 26 2016,2
84292,94486,7c96db4f-afc9-11e6-a81a-c4b301cdf627,com.amaze.filemanager,Very good but the cut function... Amazing app but the cut function simply works as a copy function. Everytime I use the cut and paste I have to go back and delete the file from before. Please fix this ASAP!,October 26 2016,4
84293,94487,7c96dbe6-afc9-11e6-a8cb-c4b301cdf627,com.amaze.filemanager,Great file manager I really like this. My only request would be to add support for cloud storage ( Google drive  drop box  etc). Awesome program.,October 25 2016,4
84294,94488,7c96dc68-afc9-11e6-9c38-c4b301cdf627,com.amaze.filemanager,Any way make the paste option in bar permanently shown  instead of having to drag down the bar to see it? Unable to search file in subfolders,October 25 2016,1
